Place,Time,Marking
>New batch arrives,33.42,24
>New batch arrives,34.5,25
>New batch arrives,34.5,26
>New batch arrives,36.0,27
>New batch arrives,36.0,28
Heat-sealing packaging,36.92,0
Sealer standby state,36.92,1
Sealer standby state,36.92,0
Heat-sealing packaging,36.92,1
>New batch arrives,36.92,27
Heat-sealing packaging,36.92,1
>New batch arrives,36.92,26
>New batch arrives,37.5,27
>New batch arrives,37.5,28
>New batch arrives,39.0,29
>New batch arrives,39.0,30
>New batch arrives,40.5,31
>New batch arrives,40.5,32
Heat-sealing packaging,40.65,0
Sealer standby state,40.65,1
Sealer standby state,40.65,0
Heat-sealing packaging,40.65,1
>New batch arrives,40.65,31
Heat-sealing packaging,40.65,1
>New batch arrives,40.65,30
>New batch arrives,42.0,31
>New batch arrives,42.0,32
>New batch arrives,43.5,33
>New batch arrives,43.5,34
Heat-sealing packaging,43.84,0
Sealer standby state,43.84,1
Sealer standby state,43.84,0
Heat-sealing packaging,43.84,1
>New batch arrives,43.84,33
Heat-sealing packaging,43.84,1
>New batch arrives,43.84,32
>New batch arrives,45.0,33
>New batch arrives,45.0,34
>New batch arrives,46.5,35
>New batch arrives,46.5,36
Heat-sealing packaging,47.45,0
Sealer standby state,47.45,1
Sealer standby state,47.45,0
Heat-sealing packaging,47.45,1
>New batch arrives,47.45,35
Heat-sealing packaging,47.45,1
>New batch arrives,47.45,34
>New batch arrives,48.0,35
>New batch arrives,48.0,36
>New batch arrives,49.5,37
>New batch arrives,49.5,38
Heat-sealing packaging,50.97,0
Sealer standby state,50.97,1
Sealer standby state,50.97,0
Heat-sealing packaging,50.97,1
>New batch arrives,50.97,37
Heat-sealing packaging,50.97,1
>New batch arrives,50.97,36
>New batch arrives,51.0,37
>New batch arrives,51.0,38
>New batch arrives,52.5,39
>New batch arrives,52.5,40
>New batch arrives,54.0,41
>New batch arrives,54.0,42
Heat-sealing packaging,54.43,0
Sealer standby state,54.43,1
Sealer standby state,54.43,0
Heat-sealing packaging,54.43,1
>New batch arrives,54.43,41
Heat-sealing packaging,54.43,1
>New batch arrives,54.43,40
>New batch arrives,55.5,41
>New batch arrives,55.5,42
>New batch arrives,57.0,43
>New batch arrives,57.0,44
Heat-sealing packaging,57.98,0
Sealer standby state,57.98,1
Sealer standby state,57.98,0
Heat-sealing packaging,57.98,1
>New batch arrives,57.98,43
Heat-sealing packaging,57.98,1
>New batch arrives,57.98,42
>New batch arrives,58.5,43
>New batch arrives,58.5,44
>New batch arrives,60.0,45
>New batch arrives,60.0,46
Heat-sealing packaging,61.02,0
Sealer standby state,61.02,1
Sealer standby state,61.02,0
Heat-sealing packaging,61.02,1
>New batch arrives,61.02,45
Heat-sealing packaging,61.02,1
>New batch arrives,61.02,44
>New batch arrives,61.5,45
>New batch arrives,61.5,46
>New batch arrives,63.0,47
>New batch arrives,63.0,48
>New batch arrives,64.5,49
>New batch arrives,64.5,50
Heat-sealing packaging,64.7,0
Sealer standby state,64.7,1
Sealer standby state,64.7,0
Heat-sealing packaging,64.7,1
>New batch arrives,64.7,49
Heat-sealing packaging,64.7,1
>New batch arrives,64.7,48
>New batch arrives,66.0,49
>New batch arrives,66.0,50
>New batch arrives,67.5,51
>New batch arrives,67.5,52
Heat-sealing packaging,67.99,0
Sealer standby state,67.99,1
Sealer standby state,67.99,0
Heat-sealing packaging,67.99,1
>New batch arrives,67.99,51
Heat-sealing packaging,67.99,1
>New batch arrives,67.99,50
>New batch arrives,69.0,51
>New batch arrives,69.0,52
>New batch arrives,70.5,53
>New batch arrives,70.5,54
Heat-sealing packaging,71.3,0
Sealer standby state,71.3,1
Sealer standby state,71.3,0
Heat-sealing packaging,71.3,1
>New batch arrives,71.3,53
Heat-sealing packaging,71.3,1
>New batch arrives,71.3,52
>New batch arrives,72.0,53
>New batch arrives,72.0,54
>New batch arrives,73.5,55
>New batch arrives,73.5,56
Heat-sealing packaging,74.55,0
Sealer standby state,74.55,1
Sealer standby state,74.55,0
Heat-sealing packaging,74.55,1
>New batch arrives,74.55,55
Heat-sealing packaging,74.55,1
>New batch arrives,74.55,54
>New batch arrives,75.0,55
>New batch arrives,75.0,56
>New batch arrives,76.5,57
>New batch arrives,76.5,58
Heat-sealing packaging,77.9,0
Sealer standby state,77.9,1
Sealer standby state,77.9,0
Heat-sealing packaging,77.9,1
>New batch arrives,77.9,57
Heat-sealing packaging,77.9,1
>New batch arrives,77.9,56
>New batch arrives,78.0,57
>New batch arrives,78.0,58
>New batch arrives,79.5,59
>New batch arrives,79.5,60
>New batch arrives,81.0,61
>New batch arrives,81.0,62
Heat-sealing packaging,81.85,0
Sealer standby state,81.85,1
Sealer standby state,81.85,0
Heat-sealing packaging,81.85,1
>New batch arrives,81.85,61
Heat-sealing packaging,81.85,1
>New batch arrives,81.85,60
>New batch arrives,82.5,61
>New batch arrives,82.5,62
>New batch arrives,84.0,63
>New batch arrives,84.0,64
Heat-sealing packaging,85.17,0
Sealer standby state,85.17,1
Sealer standby state,85.17,0
Heat-sealing packaging,85.17,1
>New batch arrives,85.17,63
Heat-sealing packaging,85.17,1
>New batch arrives,85.17,62
>New batch arrives,85.5,63
>New batch arrives,85.5,64
>New batch arrives,87.0,65
>New batch arrives,87.0,66
>New batch arrives,88.5,67
>New batch arrives,88.5,68
Heat-sealing packaging,88.5,0
Sealer standby state,88.5,1
Sealer standby state,88.5,0
Heat-sealing packaging,88.5,1
>New batch arrives,88.5,67
Heat-sealing packaging,88.5,1
>New batch arrives,88.5,66
>New batch arrives,90.0,67
>New batch arrives,90.0,68
>New batch arrives,91.5,69
>New batch arrives,91.5,70
Heat-sealing packaging,92.02,0
Sealer standby state,92.02,1
Sealer standby state,92.02,0
Heat-sealing packaging,92.02,1
>New batch arrives,92.02,69
Heat-sealing packaging,92.02,1
>New batch arrives,92.02,68
>New batch arrives,93.0,69
>New batch arrives,93.0,70
>New batch arrives,94.5,71
>New batch arrives,94.5,72
Heat-sealing packaging,95.63,0
Sealer standby state,95.63,1
Sealer standby state,95.63,0
Heat-sealing packaging,95.63,1
>New batch arrives,95.63,71
Heat-sealing packaging,95.63,1
>New batch arrives,95.63,70
>New batch arrives,96.0,71
>New batch arrives,96.0,72
>New batch arrives,97.5,73
>New batch arrives,97.5,74
>New batch arrives,99.0,75
>New batch arrives,99.0,76
Heat-sealing packaging,99.33,0
Sealer standby state,99.33,1
Sealer standby state,99.33,0
Heat-sealing packaging,99.33,1
>New batch arrives,99.33,75
Heat-sealing packaging,99.33,1
>New batch arrives,99.33,74
Sealer standby state,100,0
>New batch arrives,100,74
Heat-sealing packaging,100,1
>New batch arrives,1.5,1
>New batch arrives,1.5,2
Sealer standby state,1.5,0
Heat-sealing packaging,1.5,1
>New batch arrives,1.5,1
Heat-sealing packaging,1.5,1
>New batch arrives,1.5,0
>New batch arrives,3.0,1
>New batch arrives,3.0,2
>New batch arrives,4.5,3
>New batch arrives,4.5,4
Heat-sealing packaging,5.27,0
Sealer standby state,5.27,1
Sealer standby state,5.27,0
Heat-sealing packaging,5.27,1
>New batch arrives,5.27,3
Heat-sealing packaging,5.27,1
>New batch arrives,5.27,2
>New batch arrives,6.0,3
>New batch arrives,6.0,4
>New batch arrives,7.5,5
>New batch arrives,7.5,6
Heat-sealing packaging,8.59,0
Sealer standby state,8.59,1
Sealer standby state,8.59,0
Heat-sealing packaging,8.59,1
>New batch arrives,8.59,5
Heat-sealing packaging,8.59,1
